sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.345;269;;12s;Yes;No;2;0.49473;0.97498;0.00000;0.47372;1.46971;AgentGG@0;AgentGP@1;0.9749755202145944;0.494730830744301;0.9749755202145944;0.494730830744301;0.7931048676300396;0.9001533610042597;0.0;0.0;0.9749755202145944;0.494730830744301;party1_utility.xml;party2_utility.xml
12.000;1144;;12s;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;AgentGP@2;AgentGG@3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
12.000;34;;12s;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;FSEGA2019@4;AgentGG@5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
11.059;1919;;12s;Yes;No;2;0.84818;0.85656;0.00000;0.09595;1.70475;Agent35@6;AgentGG@7;0.8481848197374962;0.8565603096744627;0.8481848197374962;0.8565603096744627;0.658567603399907;0.6558391841263569;0.0;0.0;0.8481848197374962;0.8565603096744627;party1_utility.xml;party2_utility.xml
12.000;36;;12s;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;AgentGG@8;FSEGA2019@9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
6.523;9;;12s;Yes;No;2;0.70947;0.91148;0.06588;0.07728;1.62094;AgentGP@10;FSEGA2019@11;0.7094656853924164;0.91147596953256;0.7094656853924164;0.91147596953256;0.5348260623888332;0.8719389251968354;0.0;0.0;0.7094656853924164;0.91147596953256;party1_utility.xml;party2_utility.xml
2.324;9;;12s;Yes;No;2;0.49331;0.84519;0.12979;0.43947;1.33850;FSEGA2019@12;AgentGP@13;0.8451904214175868;0.4933079076262927;0.8451904214175868;0.4933079076262927;0.9110049334886009;0.9177733561211551;0.0;0.0;0.8451904214175868;0.4933079076262927;party1_utility.xml;party2_utility.xml
9.656;15;;12s;Yes;No;2;0.49473;0.97498;0.00000;0.47372;1.46971;Agent35@14;AgentGP@15;0.9749755202145944;0.494730830744301;0.9749755202145944;0.494730830744301;0.7931048676300396;0.9001533610042597;0.0;0.0;0.9749755202145944;0.494730830744301;party1_utility.xml;party2_utility.xml
11.482;2017;;12s;Yes;No;2;0.59058;0.84851;0.10003;0.34398;1.43908;AgentGG@16;Agent35@17;0.8485075665862012;0.5905759805003687;0.8485075665862012;0.5905759805003687;0.5507840033545541;0.5270530156034374;0.0;0.0;0.8485075665862012;0.5905759805003687;party1_utility.xml;party2_utility.xml
